x,y,z,roll,pitch,yaw,vx,vy,vz
0.4,0,0.494006,3.14159,0,3.14159,0,0,0.08625
0.4,0,0.493919,3.14159,0,3.14159,0,0,0.086875
0.4,0,0.493831,3.14159,0,3.14159,0,0,0.0875
0.4,0,0.493743,3.14159,0,3.14159,0,0,0.088125
0.4,0,0.493654,3.14159,0,3.14159,0,0,0.08875
0.4,0,0.493565,3.14159,0,3.14159,0,0,0.089375
0.4,0,0.493475,3.14159,0,3.14159,0,0,0.09
0.4,0,0.493384,3.14159,0,3.14159,0,0,0.090625
0.4,0,0.493293,3.14159,0,3.14159,0,0,0.09125
0.4,0,0.493201,3.14159,0,3.14159,0,0,0.091875
0.4,0,0.493109,3.14159,0,3.14159,0,0,0.0925
0.4,0,0.493016,3.14159,0,3.14159,0,0,0.093125
0.4,0,0.492922,3.14159,0,3.14159,0,0,0.09375
0.4,0,0.492827,3.14159,0,3.14159,0,0,0.094375
0.4,0,0.492733,3.14159,0,3.14159,0,0,0.095
0.4,0,0.492637,3.14159,0,3.14159,0,0,0.095625
0.4,0,0.492541,3.14159,0,3.14159,0,0,0.09625
0.4,0,0.492444,3.14159,0,3.14159,0,0,0.096875
0.4,0,0.492346,3.14159,0,3.14159,0,0,0.0975
0.4,0,0.492248,3.14159,0,3.14159,0,0,0.098125
0.4,0,0.492149,3.14159,0,3.14159,0,0,0.09875
0.4,0,0.49205,3.14159,0,3.14159,0,0,0.099375
0.4,0,0.49195,3.14159,0,3.14159,0,0,0.1
0.4,0,0.491849,3.14159,0,3.14159,0,0,0.100625
0.4,0,0.491748,3.14159,0,3.14159,0,0,0.10125
0.4,0,0.491646,3.14159,0,3.14159,0,0,0.101875
0.4,0,0.491544,3.14159,0,3.14159,0,0,0.1025
0.4,0,0.491441,3.14159,0,3.14159,0,0,0.103125
0.4,0,0.491337,3.14159,0,3.14159,0,0,0.10375
0.4,0,0.491233,3.14159,0,3.14159,0,0,0.104375
0.4,0,0.491127,3.14159,0,3.14159,0,0,0.105
0.4,0,0.491022,3.14159,0,3.14159,0,0,0.105625
0.4,0,0.490916,3.14159,0,3.14159,0,0,0.10625
0.4,0,0.490809,3.14159,0,3.14159,0,0,0.106875
0.4,0,0.490701,3.14159,0,3.14159,0,0,0.1075
0.4,0,0.490593,3.14159,0,3.14159,0,0,0.108125
0.4,0,0.490484,3.14159,0,3.14159,0,0,0.10875
0.4,0,0.490375,3.14159,0,3.14159,0,0,0.109375
0.4,0,0.490265,3.14159,0,3.14159,0,0,0.11
0.4,0,0.490154,3.14159,0,3.14159,0,0,0.110625
0.4,0,0.490043,3.14159,0,3.14159,0,0,0.11125
0.4,0,0.489931,3.14159,0,3.14159,0,0,0.111875
0.4,0,0.489819,3.14159,0,3.14159,0,0,0.1125
