x,y,z,roll,pitch,yaw
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499999,3.14159,-0,3.14159
0.4,0,0.499998,3.14159,-0,3.14159
0.4,0,0.499998,3.14159,-0,3.14159
0.4,0,0.499998,3.14159,-0,3.14159
0.4,0,0.499998,3.14159,-0,3.14159
0.4,0,0.499998,3.14159,-0,3.14159
0.4,0,0.499998,3.14159,-0,3.14159
0.4,0,0.499998,3.14159,-0,3.14159
0.4,0,0.499998,3.14159,-0,3.14159
0.4,0,0.499998,3.14159,-0,3.14159
0.4,0,0.499998,3.14159,-0,3.14159
0.4,0,0.499998,3.14159,-0,3.14159
0.4,0,0.499998,3.14159,-0,3.14159
0.4,0,0.499998,3.14159,-0,3.14159
0.4,0,0.499998,3.14159,-0,3.14159
0.4,0,0.499998,3.14159,-0,3.14159
0.4,0,0.499997,3.14159,-0,3.14159
0.4,0,0.499997,3.14159,-0,3.14159
0.4,0,0.499997,3.14159,-0,3.14159
0.4,0,0.499997,3.14159,-0,3.14159
0.4,0,0.499997,3.14159,-0,3.14159
0.4,0,0.499997,3.14159,-0,3.14159
0.4,0,0.499997,3.14159,-0,3.14159
0.4,0,0.499997,3.14159,-0,3.14159
0.4,0,0.499997,3.14159,-0,3.14159
0.4,0,0.499997,3.14159,-0,3.14159
0.4,0,0.499997,3.14159,-0,3.14159
0.4,0,0.499996,3.14159,-0,3.14159
0.4,0,0.499996,3.14159,-0,3.14159
0.4,0,0.499996,3.14159,-0,3.14159
0.4,0,0.499996,3.14159,-0,3.14159
0.4,0,0.499996,3.14159,-0,3.14159
0.4,0,0.499996,3.14159,-0,3.14159
0.4,0,0.499996,3.14159,-0,3.14159
0.4,0,0.499996,3.14159,-0,3.14159
0.4,0,0.499996,3.14159,-0,3.14159
0.4,0,0.499995,3.14159,-0,3.14159
0.4,0,0.499995,3.14159,-0,3.14159
0.4,0,0.499995,3.14159,-0,3.14159
0.4,0,0.499995,3.14159,-0,3.14159
0.4,0,0.499995,3.14159,-0,3.14159
0.4,0,0.499995,3.14159,-0,3.14159
0.4,0,0.499995,3.14159,-0,3.14159
0.4,0,0.499994,3.14159,-0,3.14159
0.4,0,0.499994,3.14159,-0,3.14159
0.4,0,0.499994,3.14159,-0,3.14159
0.4,0,0.499994,3.14159,-0,3.14159
0.4,0,0.499994,3.14159,-0,3.14159
0.4,0,0.499994,3.14159,-0,3.14159
0.4,0,0.499993,3.14159,-0,3.14159
0.4,0,0.499993,3.14159,-0,3.14159
0.4,0,0.499993,3.14159,-0,3.14159
0.4,0,0.499993,3.14159,-0,3.14159
